home_team,away_team,home_score,away_score,outcome,set_1_home,set_1_away,set_2_home,set_2_away,set_3_home,set_3_away,set_4_home,set_4_away,set_5_home,set_5_away
Italy W,Brazil W,3,0,1,25,23,25,22,25,22,,,,
Turkey W,Serbia W,0,3,0,25,27,17,25,24,26,,,,
Turkey W,Italy W,0,3,0,18,25,26,28,22,25,,,,
Serbia W,Brazil W,1,3,0,25,14,18,25,24,26,19.0,25.0,,
Turkey W,Thailand W,3,1,1,23,25,25,15,25,18,25.0,21.0,,
Italy W,China W,3,1,1,25,22,25,19,24,26,25.0,22.0,,
USA W,Serbia W,2,3,0,27,29,23,25,25,20,25.0,20.0,13.0,15.0
Brazil W,Japan W,3,1,1,29,27,28,26,20,25,25.0,14.0,,
Netherlands W,Canada W,3,1,1,22,25,27,25,26,24,25.0,23.0,,
USA W,Germany W,3,1,1,25,17,25,13,13,25,25.0,22.0,,
Belgium W,Japan W,3,2,1,25,16,18,25,25,19,11.0,25.0,15.0,10.0
Poland W,Bulgaria W,1,3,0,25,22,13,25,17,25,22.0,25.0,,
Thailand W,Italy W,0,3,0,20,25,14,25,14,25,,,,
China W,South Korea W,3,1,1,25,13,19,25,25,19,26.0,24.0,,
Germany W,Canada W,3,1,1,25,19,19,25,27,25,25.0,23.0,,
Japan W,Serbia W,1,3,0,25,22,20,25,19,25,22.0,25.0,,
Turkey W,USA W,2,3,0,22,25,25,18,25,27,25.0,23.0,16.0,18.0
Italy W,Bulgaria W,3,0,1,25,12,25,19,25,21,,,,
Brazil W,Thailand W,3,1,1,25,18,26,24,23,25,25.0,23.0,,
Dominican Republic W,Poland W,3,2,1,20,25,38,36,25,20,13.0,25.0,15.0,9.0
Serbia W,Canada W,3,1,1,25,20,25,14,20,25,25.0,22.0,,
Turkey W,Japan W,3,1,1,25,20,25,15,18,25,25.0,22.0,,
Belgium W,Netherlands W,1,3,0,25,21,24,26,20,25,21.0,25.0,,
Brazil W,Bulgaria W,3,0,1,25,21,25,20,25,18,,,,
Italy W,South Korea W,3,1,1,25,17,23,25,25,15,25.0,19.0,,
China W,Dominican Republic W,3,0,1,25,19,25,16,25,15,,,,
USA W,Serbia W,3,0,1,25,17,33,31,25,16,,,,
Germany W,Belgium W,3,1,1,20,25,25,18,25,22,25.0,20.0,,
Turkey W,Netherlands W,3,0,1,25,23,25,11,25,21,,,,
South Korea W,Brazil W,0,3,0,17,25,19,25,13,25,,,,
Poland W,China W,0,3,0,8,25,23,25,20,25,,,,
Thailand W,Dominican Republic W,1,3,0,25,22,23,25,23,25,21.0,25.0,,
Belgium W,USA W,0,3,0,16,25,21,25,19,25,,,,
Japan W,Netherlands W,2,3,0,25,23,20,25,26,24,21.0,25.0,10.0,15.0
Italy W,Poland W,3,1,1,25,27,25,20,28,26,25.0,18.0,,
Thailand W,South Korea W,3,0,1,25,11,25,22,25,17,,,,
Canada W,Turkey W,3,1,1,25,22,21,25,25,22,25.0,23.0,,
