home_team,away_team,home_score,away_score,set_1,set_2,set_3,set_4,set_5
Japan W,Italy W,1,3,17–25,17–25,25–21,20–25,
Brazil W,Poland W,2,3,21–25,28–26,21–25,25–19,9–15
Brazil W,Japan W,2,3,24–26,25–20,21–25,25–22,12–15
Italy W,Poland W,3,0,25–18,25–17,25–12,,
Poland W,Turkey W,3,2,20–25,25–22,25–20,19–25,15–11
Italy W,USA W,3,0,25–21,25–21,25–23,,
Thailand W,Brazil W,0,3,21–25,20–25,23–25,,
China W,Japan W,0,3,21–25,21–25,22–25,,
China W,Poland W,3,0,25–23,25–15,25–19,,
Japan W,USA W,0,3,15–25,18–25,24–26,,
Turkey W,Brazil W,0,3,14–25,14–25,19–25,,
Serbia W,Italy W,1,3,20–25,25–20,23–25,22–25,
Germany W,Thailand W,3,0,25–17,25–21,25–20,,
Netherlands W,South Korea W,3,0,25–21,25–11,25–17,,
China W,Turkey W,3,2,21–25,17–25,25–21,25–23,15–13
Japan W,Serbia W,3,0,25–22,25–18,25–15,,
Poland W,Thailand W,3,0,25–15,25–23,25–17,,
Italy W,USA W,3,1,25–17,19–25,25–15,25–21,
Dominican Republic W,Bulgaria W,2,3,26–24,23–25,22–25,26–24,13–15
Canada W,France W,3,0,25–14,25–18,31–29,,
China W,Germany W,3,0,25–19,25–17,25–18,,
Italy W,South Korea W,3,0,25–16,25–11,25–13,,
Dominican Republic W,Poland W,0,3,31–33,20–25,16–25,,
Canada W,Netherlands W,0,3,24–26,16–25,23–25,,
Bulgaria W,Brazil W,0,3,11–25,11–25,23–25,,
Serbia W,France W,1,3,22–25,25–22,23–25,21–25,
Dominican Republic W,Turkey W,1,3,25–17,15–25,17–25,18–25,
Japan W,Canada W,2,3,25–23,25–22,20–25,21–25,14–16
Germany W,Brazil W,1,3,20–25,22–25,25–21,24–26,
France W,South Korea W,2,3,23–25,25–21,25–17,22–25,13–15
Bulgaria W,Thailand W,2,3,23–25,25–22,18–25,25–22,10–15
Netherlands W,USA W,0,3,21–25,20–25,22–25,,
Brazil W,Poland W,3,1,22–25,25–17,25–17,25–16,
South Korea W,Japan W,0,3,16–25,16–25,23–25,,
Turkey W,Thailand W,3,0,25–17,25–17,25–17,,
Netherlands W,Serbia W,3,1,25–20,25–21,18–25,25–12,
Bulgaria W,China W,0,3,15–25,12–25,17–25,,
