season,gender,match_date,home_team,away_team,home_score,away_score,outcome,set_1_home,set_1_away,set_2_home,set_2_away,set_3_home,set_3_away,set_4_home,set_4_away,set_5_home,set_5_away,match_url
2024,men,2024-06-30,Japan,France,1,3,0,23,25,25,18,23,25,23,25,,,https://www.flashscore.com/match/MX7a8Z4C/#/match-summary
2024,men,2024-06-30,Slovenia,Poland,0,3,0,24,26,16,25,17,25,,,,,https://www.flashscore.com/match/SYEjAez0/#/match-summary
2024,men,2024-06-29,Slovenia,Japan,0,3,0,21,25,25,27,29,31,,,,,https://www.flashscore.com/match/UFE6Ljgm/#/match-summary
2024,men,2024-06-29,Poland,France,2,3,0,25,22,22,25,23,25,25,20,16,18,https://www.flashscore.com/match/Gv59msvB/#/match-summary
2024,men,2024-06-28,Slovenia,Argentina,3,2,1,19,25,25,17,17,25,29,27,15,7,https://www.flashscore.com/match/61BkHeYh/#/match-summary
2024,men,2024-06-28,Italy,France,2,3,0,25,19,20,25,25,22,22,25,11,15,https://www.flashscore.com/match/SGabFZ25/#/match-summary
2024,men,2024-06-27,Poland,Brazil,3,1,1,18,25,25,23,25,22,25,16,,,https://www.flashscore.com/match/AaiFBi2U/#/match-summary
2024,men,2024-06-27,Japan,Canada,3,0,1,26,24,25,18,26,24,,,,,https://www.flashscore.com/match/EXc6DDXH/#/match-summary
2024,men,2024-06-23,Serbia,Slovenia,2,3,0,13,25,27,25,14,25,25,22,12,15,https://www.flashscore.com/match/UHFNwZZd/#/match-summary
2024,men,2024-06-23,Turkey,Italy,1,3,0,21,25,26,24,19,25,21,25,,,https://www.flashscore.com/match/SCyuFkcd/#/match-summary
2024,men,2024-06-23,Cuba,Poland,0,3,0,17,25,20,25,20,25,,,,,https://www.flashscore.com/match/lMxyGVsj/#/match-summary
2024,men,2024-06-23,Japan,USA,3,0,1,25,20,25,23,25,19,,,,,https://www.flashscore.com/match/KnYWGBSq/#/match-summary
2024,men,2024-06-23,France,Brazil,3,2,1,25,23,27,29,13,25,25,19,18,16,https://www.flashscore.com/match/Iwn5LiKS/#/match-summary
2024,men,2024-06-23,Germany,Iran,3,0,1,25,20,25,23,25,20,,,,,https://www.flashscore.com/match/zFd0MX4M/#/match-summary
