season,gender,match_date,home_team,away_team,home_score,away_score,outcome,set_1_home,set_1_away,set_2_home,set_2_away,set_3_home,set_3_away,set_4_home,set_4_away,set_5_home,set_5_away,match_url
2023,women,2023-07-16,China,Turkey,1,3,0,22,25,25,22,19,25,16,25,,,https://www.flashscore.com/match/0nZyjUVk/#/match-summary
2023,women,2023-07-16,Poland,USA,3,2,1,25,15,16,25,25,19,18,25,17,15,https://www.flashscore.com/match/vwYuklod/#/match-summary
2023,women,2023-07-15,USA,Turkey,1,3,0,21,25,14,25,26,24,25,27,,,https://www.flashscore.com/match/2NT0wGKj/#/match-summary
2023,women,2023-07-15,Poland,China,0,3,0,18,25,23,25,23,25,,,,,https://www.flashscore.com/match/hxETIG83/#/match-summary
2023,women,2023-07-13,Turkey,Italy,3,0,1,25,20,25,15,25,18,,,,,https://www.flashscore.com/match/veJ5x830/#/match-summary
2023,women,2023-07-13,Brazil,China,1,3,0,21,25,20,25,25,20,23,25,,,https://www.flashscore.com/match/6sLcvUYm/#/match-summary
2023,women,2023-07-12,USA,Japan,3,1,1,25,23,25,21,18,25,25,18,,,https://www.flashscore.com/match/pYJ1wllf/#/match-summary
2023,women,2023-07-12,Poland,Germany,3,1,1,25,12,21,25,25,21,26,24,,,https://www.flashscore.com/match/hbN9ySI6/#/match-summary
2023,women,2023-07-02,Thailand,Brazil,0,3,0,20,25,16,25,23,25,,,,,https://www.flashscore.com/match/CxHjzUL1/#/match-summary
2023,women,2023-07-02,Italy,Japan,3,1,1,25,23,25,23,17,25,25,22,,,https://www.flashscore.com/match/IFHnyA6e/#/match-summary
2023,women,2023-07-02,China,USA,3,2,1,18,25,25,19,19,25,25,20,15,8,https://www.flashscore.com/match/tbfbcpoT/#/match-summary
2023,women,2023-07-02,Croatia,Turkey,0,3,0,14,25,23,25,18,25,,,,,https://www.flashscore.com/match/vPIrxjik/#/match-summary
2023,women,2023-07-02,Poland,South Korea,3,0,1,25,23,25,18,25,16,,,,,https://www.flashscore.com/match/27efbQVM/#/match-summary
2023,women,2023-07-01,Serbia,Bulgaria,3,2,1,20,25,25,16,25,14,17,25,15,4,https://www.flashscore.com/match/pW0ka6GG/#/match-summary
