season,gender,match_date,home_team,away_team,home_score,away_score,outcome,set_1_home,set_1_away,set_2_home,set_2_away,set_3_home,set_3_away,set_4_home,set_4_away,set_5_home,set_5_away,match_url
2018,women,2018-07-01,Turkey,USA,2,3,0,25,17,22,25,28,26,15.0,25.0,7.0,15.0,https://www.flashscore.com/match/WnHRBJE5/#/match-summary
2018,women,2018-07-01,Brazil,China,0,3,0,18,25,22,25,22,25,,,,,https://www.flashscore.com/match/EB6WAwUB/#/match-summary
2018,women,2018-06-30,USA,China,3,1,1,25,23,25,20,18,25,25.0,18.0,,,https://www.flashscore.com/match/lIvNJUIJ/#/match-summary
2018,women,2018-06-30,Brazil,Turkey,0,3,0,23,25,23,25,22,25,,,,,https://www.flashscore.com/match/02oueotJ/#/match-summary
2018,women,2018-06-29,China,Brazil,0,3,0,20,25,22,25,22,25,,,,,https://www.flashscore.com/match/dCkfHCDE/#/match-summary
2018,women,2018-06-29,USA,Serbia,3,0,1,29,27,25,22,25,19,,,,,https://www.flashscore.com/match/AJVUAAjr/#/match-summary
2018,women,2018-06-28,Brazil,Netherlands,3,0,1,25,16,25,17,25,23,,,,,https://www.flashscore.com/match/ILjjIhb8/#/match-summary
2018,women,2018-06-28,Serbia,Turkey,2,3,0,25,20,21,25,18,25,25.0,19.0,14.0,16.0,https://www.flashscore.com/match/hvq3FjrR/#/match-summary
2018,women,2018-06-27,China,Netherlands,3,1,1,20,25,25,21,25,22,25.0,18.0,,,https://www.flashscore.com/match/4I28g9L7/#/match-summary
2018,women,2018-06-27,USA,Turkey,3,2,1,17,25,21,25,25,21,25.0,15.0,15.0,11.0,https://www.flashscore.com/match/EmpaGWSK/#/match-summary
2018,women,2018-06-14,Argentina,USA,0,3,0,15,25,14,25,15,25,,,,,https://www.flashscore.com/match/MadtcWkp/#/match-summary
2018,women,2018-06-14,South Korea,Serbia,0,3,0,17,25,20,25,11,25,,,,,https://www.flashscore.com/match/GIJD1CsT/#/match-summary
2018,women,2018-06-14,Germany,Netherlands,1,3,0,21,25,16,25,26,24,19.0,25.0,,,https://www.flashscore.com/match/CSZP88Xb/#/match-summary
2018,women,2018-06-14,Poland,Dominican Republic,1,3,0,18,25,25,16,21,25,20.0,25.0,,,https://www.flashscore.com/match/0MPp8dbo/#/match-summary
