season,gender,match_date,home_team,away_team,home_score,away_score,outcome,match_url,set_1_home,set_1_away,set_2_home,set_2_away,set_3_home,set_3_away,set_4_home,set_4_away,set_5_home,set_5_away
2023,men,2023-07-23,Poland,USA,3,1,1,https://www.flashscore.com/match/WOAejIBG/#/match-summary,25,23,24,26,25,18,25,18,,
2023,men,2023-07-23,Japan,Italy,3,2,1,https://www.flashscore.com/match/hYBiibdA/#/match-summary,25,18,25,23,17,25,17,25,15,9
2023,men,2023-07-22,USA,Italy,3,0,1,https://www.flashscore.com/match/zJxWElQO/#/match-summary,25,19,25,18,25,19,,,,
2023,men,2023-07-22,Japan,Poland,1,3,0,https://www.flashscore.com/match/pGEHqLKo/#/match-summary,25,19,26,28,17,25,21,25,,
2023,men,2023-07-20,Poland,Brazil,3,0,1,https://www.flashscore.com/match/jJUzOkcL/#/match-summary,26,24,25,21,25,20,,,,
2023,men,2023-07-20,Japan,Slovenia,3,0,1,https://www.flashscore.com/match/xGQWOVsF/#/match-summary,26,24,25,18,25,22,,,,
2023,men,2023-07-19,Italy,Argentina,3,0,1,https://www.flashscore.com/match/CzYB7AY7/#/match-summary,25,17,25,13,25,14,,,,
2023,men,2023-07-19,USA,France,3,2,1,https://www.flashscore.com/match/rgRSPBS8/#/match-summary,25,21,25,18,17,25,24,26,15,9
2023,men,2023-07-10,USA,Bulgaria,3,0,1,https://www.flashscore.com/match/zezGZ2Uc/#/match-summary,29,27,25,19,25,21,,,,
2023,men,2023-07-09,France,Germany,3,1,1,https://www.flashscore.com/match/8Y3JzqFi/#/match-summary,21,25,25,20,25,22,25,21,,
2023,men,2023-07-09,Cuba,Iran,3,2,1,https://www.flashscore.com/match/88YNXtaA/#/match-summary,25,22,26,28,25,23,28,30,15,10
2023,men,2023-07-09,Japan,Poland,0,3,0,https://www.flashscore.com/match/Us5FyPao/#/match-summary,17,25,19,25,18,25,,,,
2023,men,2023-07-09,Slovenia,Netherlands,3,0,1,https://www.flashscore.com/match/GvHXCuNp/#/match-summary,25,20,32,30,25,22,,,,
