season,gender,match_date,home_team,away_team,home_score,away_score,outcome,match_url,set_1_home,set_1_away,set_2_home,set_2_away,set_3_home,set_3_away,set_4_home,set_4_away,set_5_home,set_5_away
2019,women,2019-07-07,Brazil W,USA W,2,3,0,https://www.flashscore.com/match/2DCd8IT8/#/match-summary,25,20,25,22,15,25,21,25,13,15
2019,women,2019-07-07,Turkey W,China W,1,3,0,https://www.flashscore.com/match/dlRa7xqF/#/match-summary,23,25,15,25,25,20,21,25,,
2019,women,2019-07-06,USA W,China W,3,1,1,https://www.flashscore.com/match/2Rc3g5bj/#/match-summary,25,11,15,25,25,17,25,20,,
2019,women,2019-07-06,Turkey W,Brazil W,0,3,0,https://www.flashscore.com/match/KOcETruR/#/match-summary,23,25,15,25,10,25,,,,
2019,women,2019-07-05,China W,Italy W,3,1,1,https://www.flashscore.com/match/jmGnd2Jc/#/match-summary,25,17,25,22,22,25,25,22,,
2019,women,2019-07-05,USA W,Brazil W,3,1,1,https://www.flashscore.com/match/tx9ag03G/#/match-summary,25,18,25,19,20,25,25,21,,
2019,women,2019-07-04,Italy W,Turkey W,0,3,0,https://www.flashscore.com/match/xpCrcr4i/#/match-summary,21,25,15,25,21,25,,,,
2019,women,2019-07-04,Brazil W,Poland W,3,2,1,https://www.flashscore.com/match/C24eftlA/#/match-summary,22,25,25,21,22,25,25,19,15,10
2019,women,2019-07-03,China W,Turkey W,1,3,0,https://www.flashscore.com/match/OtO0YbRj/#/match-summary,22,25,19,25,25,22,22,25,,
2019,women,2019-07-03,USA W,Poland W,3,1,1,https://www.flashscore.com/match/YB5ieMY3/#/match-summary,21,25,25,16,25,15,26,24,,
2019,women,2019-06-20,Turkey W,Brazil W,3,2,1,https://www.flashscore.com/match/UwRc1kzo/#/match-summary,25,23,24,26,25,20,23,25,16,14
2019,women,2019-06-20,Russia W,Netherlands W,0,3,0,https://www.flashscore.com/match/SUvW5VRT/#/match-summary,12,25,25,27,17,25,,,,
2019,women,2019-06-20,Belgium W,Italy W,3,2,1,https://www.flashscore.com/match/Y7uS6BCN/#/match-summary,12,25,25,20,16,25,25,14,15,10
2019,women,2019-06-20,China W,Serbia W,3,0,1,https://www.flashscore.com/match/K4yO7icH/#/match-summary,25,16,25,17,25,17,,,,
2019,women,2019-06-20,Thailand W,USA W,0,3,0,https://www.flashscore.com/match/xtnJ8XsB/#/match-summary,13,25,20,25,17,25,,,,
2019,women,2019-06-20,Germany W,Bulgaria W,3,0,1,https://www.flashscore.com/match/jPmBAgDb/#/match-summary,25,21,25,20,25,13,,,,
2019,women,2019-06-20,South Korea W,Poland W,3,1,1,https://www.flashscore.com/match/bkmF9DS4/#/match-summary,25,8,22,25,25,20,25,16,,
2019,women,2019-06-20,Japan W,Dominican Republic W,2,3,0,https://www.flashscore.com/match/CYl7BZch/#/match-summary,17,25,23,25,26,24,28,26,10,15
2019,women,2019-06-19,Italy W,Turkey W,3,2,1,https://www.flashscore.com/match/U9a2CFrn/#/match-summary,25,19,17,25,23,25,25,15,16,14
2019,women,2019-06-19,Russia W,Thailand W,1,3,0,https://www.flashscore.com/match/G6ebDeTu/#/match-summary,25,19,13,25,17,25,22,25,,
2019,women,2019-06-19,Belgium W,Brazil W,0,3,0,https://www.flashscore.com/match/voKhhCcU/#/match-summary,23,25,15,25,18,25,,,,
2019,women,2019-06-19,China W,Bulgaria W,3,0,1,https://www.flashscore.com/match/0fLlghrO/#/match-summary,25,18,25,19,25,16,,,,
2019,women,2019-06-19,Netherlands W,USA W,2,3,0,https://www.flashscore.com/match/rJQqfYSH/#/match-summary,21,25,25,23,25,22,26,28,9,15
2019,women,2019-06-19,Serbia W,Germany W,1,3,0,https://www.flashscore.com/match/A5Sydfb5/#/match-summary,14,25,20,25,25,23,17,25,,
2019,women,2019-06-19,South Korea W,Japan W,3,0,1,https://www.flashscore.com/match/4SRueEDB/#/match-summary,25,18,25,18,25,23,,,,
2019,women,2019-06-19,Poland W,Dominican Republic W,3,2,1,https://www.flashscore.com/match/CK9Ydzqa/#/match-summary,25,18,25,20,23,25,22,25,17,15
