season,gender,match_date,home_team,away_team,home_score,away_score,outcome,match_url,set_1_home,set_1_away,set_2_home,set_2_away,set_3_home,set_3_away,set_4_home,set_4_away,set_5_home,set_5_away
2018,women,2018-07-01,Turkey W,USA W,2,3,0,https://www.flashscore.com/match/WnHRBJE5/#/match-summary,25,17,22,25,28,26,15.0,25.0,7.0,15.0
2018,women,2018-07-01,Brazil W,China W,0,3,0,https://www.flashscore.com/match/EB6WAwUB/#/match-summary,18,25,22,25,22,25,,,,
2018,women,2018-06-30,USA W,China W,3,1,1,https://www.flashscore.com/match/lIvNJUIJ/#/match-summary,25,23,25,20,18,25,25.0,18.0,,
2018,women,2018-06-30,Brazil W,Turkey W,0,3,0,https://www.flashscore.com/match/02oueotJ/#/match-summary,23,25,23,25,22,25,,,,
2018,women,2018-06-29,China W,Brazil W,0,3,0,https://www.flashscore.com/match/dCkfHCDE/#/match-summary,20,25,22,25,22,25,,,,
2018,women,2018-06-29,USA W,Serbia W,3,0,1,https://www.flashscore.com/match/AJVUAAjr/#/match-summary,29,27,25,22,25,19,,,,
2018,women,2018-06-28,Brazil W,Netherlands W,3,0,1,https://www.flashscore.com/match/ILjjIhb8/#/match-summary,25,16,25,17,25,23,,,,
2018,women,2018-06-28,Serbia W,Turkey W,2,3,0,https://www.flashscore.com/match/hvq3FjrR/#/match-summary,25,20,21,25,18,25,25.0,19.0,14.0,16.0
2018,women,2018-06-27,China W,Netherlands W,3,1,1,https://www.flashscore.com/match/4I28g9L7/#/match-summary,20,25,25,21,25,22,25.0,18.0,,
2018,women,2018-06-27,USA W,Turkey W,3,2,1,https://www.flashscore.com/match/EmpaGWSK/#/match-summary,17,25,21,25,25,21,25.0,15.0,15.0,11.0
2018,women,2018-06-14,Argentina W,USA W,0,3,0,https://www.flashscore.com/match/MadtcWkp/#/match-summary,15,25,14,25,15,25,,,,
2018,women,2018-06-14,South Korea W,Serbia W,0,3,0,https://www.flashscore.com/match/GIJD1CsT/#/match-summary,17,25,20,25,11,25,,,,
2018,women,2018-06-14,Germany W,Netherlands W,1,3,0,https://www.flashscore.com/match/CSZP88Xb/#/match-summary,21,25,16,25,26,24,19.0,25.0,,
2018,women,2018-06-14,Poland W,Dominican Republic W,1,3,0,https://www.flashscore.com/match/0MPp8dbo/#/match-summary,18,25,25,16,21,25,20.0,25.0,,
2018,women,2018-06-14,Italy W,Brazil W,3,2,1,https://www.flashscore.com/match/U1H14EcA/#/match-summary,22,25,25,20,17,25,25.0,19.0,15.0,12.0
2018,women,2018-06-14,China W,Turkey W,1,3,0,https://www.flashscore.com/match/t2vU7Sn5/#/match-summary,26,28,21,25,25,20,20.0,25.0,,
2018,women,2018-06-14,Russia W,Japan W,3,2,1,https://www.flashscore.com/match/CjICa4fo/#/match-summary,19,25,25,14,25,16,23.0,25.0,15.0,10.0
2018,women,2018-06-14,Belgium W,Thailand W,3,1,1,https://www.flashscore.com/match/nwSd5fr4/#/match-summary,26,24,23,25,25,20,25.0,21.0,,
2018,women,2018-06-13,Argentina W,Serbia W,0,3,0,https://www.flashscore.com/match/YZapdj5j/#/match-summary,27,29,13,25,16,25,,,,
